trial,score,state,duration_s,k,eps,tau,attr_fiedler,attr_var_lambda,attr_mrr_proxy,attr_tau,attr_n_sample,attr_n_probe
10,2.12976690,COMPLETE,1365.10495600,38,1.61537646,0.11433991,0.65935125,0.02153306,2.89478700,0.11434000,50000.00000000,200.00000000
15,2.12307960,COMPLETE,1368.70976100,35,1.69170506,0.11485358,0.60846711,0.02060164,2.89426300,0.11485400,50000.00000000,200.00000000
11,2.11974496,COMPLETE,1365.08667100,38,1.51205570,0.17357788,0.65935125,0.02153306,2.88047000,0.17357800,50000.00000000,200.00000000
12,2.11281855,COMPLETE,1371.22378700,40,1.35143396,0.13509770,0.55171894,0.02212125,2.88965400,0.13509800,50000.00000000,200.00000000
9,2.08295473,COMPLETE,1353.85164600,22,1.39171834,0.18825578,0.42361195,0.02289840,2.87150200,0.18825600,50000.00000000,200.00000000
18,2.07737218,COMPLETE,1373.44660000,35,3.79029834,0.30393556,0.60846711,0.02060164,2.82896700,0.30393600,50000.00000000,200.00000000
8,2.00686806,COMPLETE,1352.11486000,20,2.29295805,0.47938019,0.55398183,0.01843591,2.73839600,0.47938000,50000.00000000,200.00000000
16,1.97337196,COMPLETE,1365.88320600,33,1.05502766,0.58753625,0.62589692,0.02096844,2.67726400,0.58753600,50000.00000000,200.00000000
14,1.86198904,COMPLETE,1371.42535200,33,1.00030332,0.75078039,0.70390606,0.02114099,2.50473200,0.75078000,50000.00000000,200.00000000
13,1.83608726,COMPLETE,1374.25809800,40,1.91095237,0.77657332,0.55171894,0.02212125,2.49432400,0.77657300,50000.00000000,200.00000000
2,1.31178547,COMPLETE,1437.86803600,5,2.82824061,1.24211852,0.99673680,0.02081383,1.67346100,1.24211900,50000.00000000,200.00000000
0,0.74457439,COMPLETE,1478.09249200,17,3.52059936,1.49078849,0.95623859,0.02164301,0.86889800,1.49078800,50000.00000000,200.00000000
17,0.37611029,COMPLETE,1361.59028700,28,1.89966805,1.75645950,0.58341354,0.01985958,0.40318200,1.75646000,50000.00000000,200.00000000
1,,PRUNED,1296.57014200,25,0.44939958,0.39638959,,,,,,
3,,PRUNED,1194.47078000,29,0.31642993,1.94282872,,,,,,
4,,PRUNED,1191.17722200,34,0.51998372,0.44546744,,,,,,
5,,PRUNED,1193.13446400,9,0.65974353,1.09703722,,,,,,
6,,PRUNED,1191.71917900,19,0.63787590,1.26252050,,,,,,
7,,PRUNED,1193.78058400,8,0.63939036,0.79608750,,,,,,
19,,PRUNED,1188.06502700,30,0.90597217,0.63980351,,,,,,
